RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
1,15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57
4,15701354,Boni,699,France,Female,39,1,0,2,0,0,93826.63
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8
